Spørsmål;Beskrivelse;Moderat;Realistlista;Grønn;VA;GSA;SosDem
Studentparlamentet bør legges ned;"Studentparlamentet er det øverste studentdemokratiske organet ved Universitetet i Bergen, der representanter blir valgt under studentvalget. Valgoppslutningen i studentvalget har vært særdeles lav de siste 3 årene, og noen studenter mener dette gjør Studentparlamentet til et organ uten reell representasjon av studentene på UiB. Likevel er valgoppslutningen ved UiB blant de høyeste i landet, og regnet som et av de sterkere studentdemokratiene i landet.";-2;-2;-2;-2;-2;-2
Det er riktig at studenter fra utenfor Sveits og EØS betaler studieavgift ved Universitetet i Bergen;"Høyere utdanning er gratis for alle, med fra høsten 2023 vil studenter som kommer fra land utenfor EU måtte betale skolepenger for å studere ved UiB. Dette bryter en langvarig tradisjon med gratisprinsippet, og bryter med regjeringens politiske plattform. UiB anser at innføringen av skolepenger vil føre til færre internasjonale studenter på campus.";1;-2;-2;-2;-2;-2
Det bør i mindre grad tilbys utvekslingsavtaler til land utenfor Europa;UiB har et mål om å være klimanøytral innen 2030. Samtidig satser universitetet tungt på internasjonalisering og utvekslingsmuligheter for sine studenter.;-2;-1;-1;-1;-2;-2
Studenter på UiB skal ha tilgang til gratis aviser, selv om det påfølger salg av informasjon til tredjeparter;"Ved NTNU og BI har studenter tilgang til Schibsted-aviser som Aftenposten. Noen av listene går til valg med målet om å gi UiB-studenter tilgang til gratis aviser gjennom en slik avtale. Likevel oppleves den tilgangne med en bismak, da en del av avtalen mellom institusjonene og avisforlaget er å gi tilgang til informasjon til tredjeparter.";-1;2;1;2;1;2
Velkomstuken bør holdes fri for undervisning;"Noen studenter opplever de ikke får god læring av å ha undervisningen, særlig obligatorisk, starte samme uken som velkomstuken. De ønsker derfor å vente med undervisningsstart til velkomstuken er ferdig.";2;2;2;2;-1;2
Et nytt bygg for Griegakademiet (KMD) bør prioriteres fremfor et nytt bygg for studentene på HF.;"Griegakademiet er del av Fakultet for kunst, musikk og design, og utdanner studenter innen bl.a. utøvende musikk og musikkterapi. Lokalene deres er utdaterte og studenter melder om et særdeles dårlig læringsmiljø. Samtidig ønsker studenter ved det Humanistiske fakultet et nytt bygg, da både HF-bygget og Sydneshaugen skole ikke har blitt pusset opp på årevis og opplever fakultetet blir glemt ut.";1;2;2;2;-1;1
Det bør være en egen campusbuss for studenter.;"Campusbussen er et tilbud for ansatte for å bevege seg mellom campus, særlig mellom Årstad/Haukeland og Høyden. Noen studenter mener dette kan være et veldig godt tilbud for studenter som tar fag på tvers av ulike fakulteter.";-1;-1;2;2;2;1
Nygårdshøyden skal være bilfritt.;"Store deler av campusen til UiB ligger på Nygårdshøyden, og studenter opplever et ubehag med biltrafikken, særlig i dager med mye utslipp. Det foreslås om å gjøre det ulovlig å kjøre på Nygårdshøyden, med unntak for studenter/ansatte med funksjonsnedsettelser, varetjenester, nødetater og beboere.";-2;2;2;2;-2;2
Alle forelesninger skal bli strømmet eller tatt opptak av.;"Før pandemien startet i 2020, var det praksis på flere av fakultetene på UiB å ta opptak eller strømme forelesninger, som et tiltak for å digitalisere undervisningen. Likevel opplevde studenter at digitaliseringen var langt bak enn ventet da pandemien startet, og det ble påbegynt strømming/opptak av alle forelesninger. UiB-ledelsen valgte å gå vekk fra strømming og opptak av forelesninger av pandemien, for å rendyrke den fysiske tilstedeværelsen på campus. Dette ble møtt med motstand fra Studentparlamentet, som mener strømming/opptak bør fortsettes i en hverdag der studenter er ofte presset til å velge vekk undervisningen for at økonomien skal gå opp. Studenter med funksjonsnedsettelser opplever fjerningen av tilbudet som diskriminerende.";2;2;-1;2;2;2
All mat i Sammen-kantinene bør være vegetarisk.;"Sammen har i de siste årene gått for mer tilbud av vegetarmat i sine kantiner og kafeer, men noen studenter dette tilbudet er mangelfullt eller ikke godt nok. Det foreslås at Sammen skal ta et foregangsinitiativ og innføre bare salg av vegetarmat i sine kantiner og kafeer. Andre mener dette kan påvirket salget til Sammen negativt, da det ikke lenger vil være et godt variert tilbud av mat og drikke.";-2;-2;2;1;-2;-1
Universitetsbibliotekene skal være døgnåpne.;"Biblioteket for samfunnsvitenskap, musikk og psykologi (SMP) ble døgnåpent i en prøveperiode, og prosjektet ga mersmak for studentene ved andre fakulteter. Likevel mener noen studenter at døgnåpne bibliotek vil føre til en ukultur der studenter sitter for lenge på bibliotekene og overarbeider seg selv.";2;2;2;2;2;2
Studentparlamentet diskriminerer mot ikke-norsktalende studenter med mangel på informasjon på engelsk;"Alle sakspapirer i Studentparlamentet er på norsk, og ikke-norsktalende studenter må benytte seg av oversettelsesprogram for å forstå sakspapirene. Ikke-norsktalende representanter i Studentparlamentet har fått benyttet seg av tolk under møtene, men har etterspurt mer informasjon tilgjengelig på engelsk. På den andre siden sier Studentparlamentet de ikke har kapasitet å oversette alle dokumenter på engelsk, selv om de mener det er kjipt ikke-norsktalende studenter ikke blir inkludert godt nok. Andre studentdemokratier har jobbet med denne problemstillingen: Studenttinget på NMBU har norsk og engelsk som arbeidsspråk, mens ved Studenttinget på NTNU er norsk standarden.";-1;1;2;1;2;1
Toalettene på campus bør være kjønnsnøytrale.;"Noen mener tiden for kjønnsdelte toaletter er forbi, og at kjønnsnøytrale toalett er inngangen til et mer inklusivt campusområde. Andre mener kjønnsnøytrale toalett bør være et tilbud, men ikke en standard, ved Universitetet i Bergen.";-1;1;2;1;-1;2
Ola Borten Moe bør forbli uønsket av studentene ved UiB.;"I november 2022 vedtok Studentparlamentet en resolusjon der de erklærte statsråd for høyere utdanning og forskning, Ola Borten Moe, ""persona non grata"": eller uønsket på campus. Noen studenter mener det er forsvarlig å erklære Borten Moe uønsket for han ikke viser interesse for studentene han representerer. Andre mener det er feil av Studentparlamentet å ikke bidra til dialog med Borten Moe og at vedtaket gjør mer skade enn gode.";-2;2;2;2;1;-2
Leder av Studentparlamentet bør velges gjennom urnevalg.;"Alle studenter ved UiB kan stille til arbeidsutvalget i Studentparlamentet, og stille som leder. I dag blir lederen av Studentparlamentet valgt av representantene i Studentparlamentet, og blir da UiB-studentenes øverste representant. Noen mener en såpass viktig rolle ved universitetet bør velges gjennom urnevalg, for å gjøre prosessen mer demokratisk. Andre mener dette kan føre til en popularitetskonkurranse blant studenter, og mener dagens valgmodell bør ikke endres.";-1;-2;-2;-2;1;-1
Det bør stilles krav til bredt mangfold blant toppkandidatene hos listene som stiller til valg;"I fjor var alle listeledere (også førstekandidater) hvite menn. Flere av listene har stor overvekt av studenter fra SV-fakultetet blant sine toppkandidater, og noen mener dette hemmer listenes egnethet til å representere de 20 000 studentene ved UiB. Andre mener det er vanskelig å rekruttere studenter fra andre fakulteter, som ikke er interessert å sitte i Studentparlamentet eller ikke vet hva Studentparlamentet er.";-2;-2;2;2;-2;-1
Semesteravgiften må økes til 600 kr for å gi bedre tilbud gjennom Studentsamskipnaden på Vestlandet;"Semesteravgiften i dag er på 550 kr. Det snakkes om at Sammen sine tilbud ikke er tilstrekkelig, og noen mener det er forsvarlig å øke semesteravgiften slik at Sammen har flere midler å bygge opp og styrke tilbudene sine. Andre mener at det er svært uheldig å øke semesteravgiften i en tid det er økonomiske vansker for alle.";-2;-2;0;-1;-1;-1
Studentparlamentet skal gå inn for ekstralån for å øke studiestøtten.;"Høyre har tidligere fremmet et forslag om å øke studiestøtten ved å gi mer lån til studenter, med bakgrunn at studielån har mye bedre forutsetninger enn forbrukslån, som noen studenter tyr til når økonomien ikke strekker til. NSO mener ekstralån er ikke veien å gå, men en økning av studiestøtten (både stipend og lån) til 1,5 G.";2;-2;-1;-2;1;-2
Det bør være kjønnskvotering på UiB-studier hvor ett kjønn dominerer studentmassen;"Kjønnskvotering på studieprogram innebærer at det er satt av et antall plasser for studenter av ett kjønn. Ingen studier ved UiB operer med en slik kjønnskvotering i dag, men profesjonsprogrammet i psykologi har kjønnspoeng for mannlige søkere.";-2;-1;2;1;-1;1
Alle UiB-emner bør være åpne for alle studenter;"Noen emner er kun forbeholdt enkelte studieprogram, for eksempel på emner på medisin og jus.";-1;-1;1;1;2;1
Alkohol bør kunne nytes i alle UiBs lokaler;Medbragt alkohol er ikke tillatt på campus på UiB. Det er ikke lov for studenter å drikke eller servere alkohol på campus på UiB med mindre det foreligger skjenkebevilling.;2;2;-2;1;2;1
Andre aktører enn Sammen bør kunne drifte kantinene på fakultetene;Sammen driver i dag alle kantinene på campus.;2;2;-1;-2;2;-2
Eksamensformen bør være valgfri;"I dag er det fastsatt om eksamensformen i et gitt fag er muntlig eller skriftlig, eller om den skal gjøres på skolen eller hjemme.";1;1;-1;1;-2;2
