Spørsmål;Beskrivelse;Liberal Liste;Moderat Liste;Realistlista;Sosialdemokratisk Liste;Venstrealliansen
Det er viktig å prioritere utvekslingsavtaler med land utenfor europa;UiB satser tungt på utvekslingsmuligheter og internasjonalisering for sine studenter. Samtidig har det blitt argumentert for at mer utveksling i Europa vil være mer klimavennlig.;1;2;2;2;1
Fadderuken skal være undervisningsfri;Noen studenter opplever at de ikke får god læring av å ha undervisning (særlig obligatorisk) som starter i fadderuken. De ønsker derfor å vente med undervisningsstarten til etterpå.;2;2;2;2;1
Nygårdshøyden skal være bilfritt.;Mesteparten av UiBs campus ligger på Nygårdshøyden, hvor det er mye biltrafikk, som kan være til bry for studenter og skape utslipp. Studentparlamentet har tidligere jobbet med å få en bilfri Nygårdshøyde, med unntak for studenter/ansatte med funksjonsnedsettelser, varelevering o.l.;2;-1;1;2;1
Alle forelesninger skal bli strømmet eller tatt opptak av.;Under koronapandemien ble forelesninger i stor grad strømmet og lagt ut i etterkant. Siden har det vært diskutert om man skal gjøre dette til en mer permanent ordning, da det gjør studiehverdagen mer fleksibel for studenter og er nyttig for studenter som av ulike grunner ikke kan være på campus. Samtidig er det bekymringer knyttet bl.a. til kapasitet til å ta opptak og personvern, og universitetet er opptatt av at studenter skal være på og bruke campus.;1;-2;2;-1;2
Sammens cafeer skal tilby et bedre vegetarmattilbud, og redusere kjøttsalget.;Sammen har i nyere tid begynt å tilby mer vegetarmat i sine kaféer og kantiner, men noen studenter mener at tilbudet ikke er godt nok. Det har vært diskutert om Sammen skal servere enda mer vegetarmat, bl.a. av hensyn til klima og miljø.;1;-1;-1;1;2
Det er viktigere å jobbe for å beholde ett døgnåpent bibliotek, enn å jobbe for at alle bibliotekene skal ha lengre åpningstider.;Studentparlamentet fikk i 2022 gjennomslag for at biblioteket for samfunnsfag, musikk og psykologi (SMP) skulle være døgnåpent i en prøveperiode, og etter dette har biblioteket fortsatt å være døgnåpent i eksamensperioder. Men det er kostnader involvert, og noen mener at det er viktigere at alle bibliotekene får lengre åpningstider enn at ett skal være døgnåpent.;-1;-1;-1;-2;-1
UiB har ikke gjort nok for å inkludere internasjonale studenter;UiB mottar hvert år mange internasjonale studenter, og har et ansvar for at disse skal være inkludert og får muligheten til å delta på universitetet.;2;1;1;2;2
Alle toalettene på campus skal være kjønnsnøytrale.;Noen mener at å kun ha kjønnsnøytrale toaletter på campus vil kunne fremme et mer inklusivt universitet. Andre mener at det bør være et tilbud, men ikke standard.;1;-2;-1;-2;1
Man burde kunne få ekstra studiestøtte i form av mer lån;I dag er den maksimale studiestøtten i året på 166 859 kr, tilsvarende omtrent 1.3 G av grunnbeløpet i folketrygden. Partiet Høyre har tidligere tatt til orde for at man skal kunne søke om mer studiestøtte i form av lån. Bakgrunnen er at studielån er et mye mer gunstig lån enn forbrukslån. Studentparlamentet og Norsk studentorganisasjon (NSO) har vært negative til dette, og vil heller jobbe for at man skal øke studiestøtten til 1.5 G.;2;1;-1;2;-2
Det bør være kjønnskvotering på UiB-studier hvor ett kjønn dominerer studentmassen;Kjønnskvotering på studieprogram betyr at det er satt av et antall plasser for studenter av et kjønn, for å skape mer kjønnsbalanse i studiet. Andre har argumentert for at kjønn ikke skal være en faktor i tildeling av studieplasser.;-1;1;1;-1;2
Alle UiB-emner bør være åpne for alle studenter;En del emner på UiB, f.eks. på medisin og juss, er kun åpne for enkelte studieprogram. Mer tverr faglighet har vært en kampsak for mange i lang tid på universitetet.;1;1;1;-2;-1
Det må være lov å nyte alkohol i rom studentorganisasjoner disponerer på UiB.;Det er ikke lov å ta med medbrakt alkohol i UiBs lokaler, og det er kun lov for studenter å servere og drikke alkohol på steder med skjenkebevilgning. Noen lister i Studentparlamentet har jobbet for at dette reglementet skal være løsere, særlig for studentorganisasjoner i sine klubblokaler.;2;2;2;-2;-2
Andre aktører enn Sammen bør kunne drifte kantinene på fakultetene;I dag driver Sammen alle kantinene på UiBs fakulteter. Noen har tatt til orde for at man skal konkurranseutsette driften, med det formål å få et bedre tilbud og lavere priser.;1;2;1;-2;-2
Man burde avskaffet skoleeksamen til fordel for mappeinnleveringer;En del emner på UiB har i dag mappeinnleveringer, hvor man typisk har flere forskjellige vurderinger gjennom et semester som samlet gir en karakter. Noen har tatt til orde for at man burde avskaffe skoleeksamener og heller brukt enda mer mappevurdering.;1;-2;2;-1;1
UiB må boikotte Israel;Som følge av krigen på Gaza-stripen har mange studenter og ansatte ved UiB tatt til ordet for en akademisk boikott av Israel, og at man ikke skal ha samarbeid med israelske universiteter.;1;-1;1;-2;2
Pensum skal være gratis;Pensumbøker er en dyr utgift for studenter på starten av semestrene. Mye av pensum man får i dag, som artikler, er ofte gratis, men man har diskutert om man bør utvide gratisprinsippet til å også dekke pensum.;-1;-1;1;1;2
Man bør prioritere mer penger til lavterskeltilbud innen psykisk helse, heller enn å øke antall psykologtimer Sammen tilbyr.;Man har lenge tatt til orde for et utvidet psykisk helsetilbud i student-Bergen, men ressurser er begrenset og noen mener pengene er bedre anvendt i lavterskeltilbud enn i flere psykologtimer.;-1;-1;-1;-1;2
