Spørsmål;Beskrivelse;Ingvild Kvakestad;Renate Søderlund;Hajar Lazar;Oskar Salthaug Messenlien;Kristin Granlien;Carsten MH Ellertsen;Sander Vestby;Andreas Gjeitnes Gundersen;Olena M Dobrovolska
Fadderuken bør holdes fri for undervisning;;2;1;2;0;2;0;2;2;1
Alle kantiner på OsloMet bør være vegetarisk;;0;0;-1;-1;-1;0;-1;-1;1
Toalettene på campus bør være kjønnsnøytrale;;2;2;2;2;2;1;-1;1;2
OsloMet bør vise mer solidaritet og gjøre mer for studenter i land rammet av krig og konflikt;;2;2;1;2;2;1;-1;1;2
Universitetsbiblioteket skal være døgnåpent;;2;2;2;0;0;1;2;0;1
Gratis utskrift og kopiering bør inkluderes i semesteravgiften;;2;2;2;0;2;1;2;0;2
Leder av Studentparlamentet bør velges gjennom urnevalg (at alle studenter på OsloMet kan stemme over leder istedenfor kun parlamentsmedlemmer);;2;0;2;-1;2;-1;2;-1;0
Alkohol bør kunne nytes i alle OsloMets lokaler;;0;-1;-1;-1;-1;-1;2;1;0
Andre bedrifter enn SiO bør kunne drifte serveringstilbudene på campus;;1;0;2;-1;1;0;-1;1;-1
Pensumlitteraturen bør være gratis;;2;2;2;2;2;1;2;1;1
Alle forelesninger skal bli tatt opptak av;;1;1;2;0;1;0;2;1;2
OsloMet må fortsette å øke ressursene til Studentombudet;;2;2;2;2;2;1;2;1;2
Det bør være utvidet åpningstid i kantina;;2;1;2;2;1;2;2;1;1
Gratis kaffe bør inkluderes i semesteravgiften;;2;1;2;0;-1;-1;2;0;-1
Man bør ha flere forsøk på eksamen enn fire;;1;1;2;2;2;0;-1;1;2
